feature,value,group,dataset,layer
attr_to_inst,0.30843373493975906,general,glue_rte,embeddings
cat_to_num,0.0,general,glue_rte,embeddings
freq_class.count,2.0,general,glue_rte,embeddings
freq_class.histogram.0,0.5,general,glue_rte,embeddings
freq_class.histogram.1,0.0,general,glue_rte,embeddings
freq_class.histogram.2,0.0,general,glue_rte,embeddings
freq_class.histogram.3,0.0,general,glue_rte,embeddings
freq_class.histogram.4,0.0,general,glue_rte,embeddings
freq_class.histogram.5,0.0,general,glue_rte,embeddings
freq_class.histogram.6,0.0,general,glue_rte,embeddings
freq_class.histogram.7,0.0,general,glue_rte,embeddings
freq_class.histogram.8,0.0,general,glue_rte,embeddings
freq_class.histogram.9,0.5,general,glue_rte,embeddings
freq_class.iq_range,0.0016064257028112205,general,glue_rte,embeddings
freq_class.kurtosis,-2.75,general,glue_rte,embeddings
freq_class.max,0.5016064257028112,general,glue_rte,embeddings
freq_class.mean,0.5,general,glue_rte,embeddings
freq_class.median,0.5,general,glue_rte,embeddings
freq_class.min,0.4983935742971888,general,glue_rte,embeddings
freq_class.nancount,2.0,general,glue_rte,embeddings
freq_class.nanhistogram.0,0.5,general,glue_rte,embeddings
freq_class.nanhistogram.1,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.2,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.3,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.4,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.5,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.6,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.7,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.8,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.9,0.5,general,glue_rte,embeddings
freq_class.naniq_range,0.0016064257028112205,general,glue_rte,embeddings
freq_class.nankurtosis,-2.75,general,glue_rte,embeddings
freq_class.nanmax,0.5016064257028112,general,glue_rte,embeddings
freq_class.nanmean,0.5,general,glue_rte,embeddings
freq_class.nanmedian,0.5,general,glue_rte,embeddings
freq_class.nanmin,0.4983935742971888,general,glue_rte,embeddings
freq_class.nanpnorm,0.707110430701653,general,glue_rte,embeddings
freq_class.nanpowersum,0.5000051612070773,general,glue_rte,embeddings
freq_class.nanquantiles.0,0.4983935742971888,general,glue_rte,embeddings
freq_class.nanquantiles.1,0.4991967871485944,general,glue_rte,embeddings
freq_class.nanquantiles.2,0.5,general,glue_rte,embeddings
freq_class.nanquantiles.3,0.5008032128514056,general,glue_rte,embeddings
freq_class.nanquantiles.4,0.5016064257028112,general,glue_rte,embeddings
freq_class.nanrange,0.003212851405622441,general,glue_rte,embeddings
freq_class.nansd,0.002271829015860359,general,glue_rte,embeddings
freq_class.nanskewness,0.0,general,glue_rte,embeddings
freq_class.nansum,1.0,general,glue_rte,embeddings
freq_class.nanvar,5.161207077305048e-06,general,glue_rte,embeddings
freq_class.pnorm,0.707110430701653,general,glue_rte,embeddings
freq_class.powersum,0.5000051612070773,general,glue_rte,embeddings
freq_class.quantiles.0,0.4983935742971888,general,glue_rte,embeddings
freq_class.quantiles.1,0.4991967871485944,general,glue_rte,embeddings
freq_class.quantiles.2,0.5,general,glue_rte,embeddings
freq_class.quantiles.3,0.5008032128514056,general,glue_rte,embeddings
freq_class.quantiles.4,0.5016064257028112,general,glue_rte,embeddings
freq_class.range,0.003212851405622441,general,glue_rte,embeddings
freq_class.sd,0.002271829015860359,general,glue_rte,embeddings
freq_class.skewness,0.0,general,glue_rte,embeddings
freq_class.sum,1.0,general,glue_rte,embeddings
freq_class.var,5.161207077305048e-06,general,glue_rte,embeddings
inst_to_attr,3.2421875,general,glue_rte,embeddings
nr_attr,768.0,general,glue_rte,embeddings
nr_bin,0.0,general,glue_rte,embeddings
nr_cat,0.0,general,glue_rte,embeddings
nr_class,2.0,general,glue_rte,embeddings
nr_inst,2490.0,general,glue_rte,embeddings
nr_num,768.0,general,glue_rte,embeddings
num_to_cat,,general,glue_rte,embeddings
can_cor.count,0.0,statistical,glue_rte,embeddings
can_cor.histogram.0,,statistical,glue_rte,embeddings
can_cor.histogram.1,,statistical,glue_rte,embeddings
can_cor.histogram.2,,statistical,glue_rte,embeddings
can_cor.histogram.3,,statistical,glue_rte,embeddings
can_cor.histogram.4,,statistical,glue_rte,embeddings
can_cor.histogram.5,,statistical,glue_rte,embeddings
can_cor.histogram.6,,statistical,glue_rte,embeddings
can_cor.histogram.7,,statistical,glue_rte,embeddings
can_cor.histogram.8,,statistical,glue_rte,embeddings
can_cor.histogram.9,,statistical,glue_rte,embeddings
can_cor.iq_range,,statistical,glue_rte,embeddings
can_cor.kurtosis,,statistical,glue_rte,embeddings
can_cor.max,,statistical,glue_rte,embeddings
can_cor.mean,,statistical,glue_rte,embeddings
can_cor.median,,statistical,glue_rte,embeddings
can_cor.min,,statistical,glue_rte,embeddings
can_cor.nancount,0.0,statistical,glue_rte,embeddings
can_cor.nanhistogram.0,,statistical,glue_rte,embeddings
can_cor.nanhistogram.1,,statistical,glue_rte,embeddings
can_cor.nanhistogram.2,,statistical,glue_rte,embeddings
can_cor.nanhistogram.3,,statistical,glue_rte,embeddings
can_cor.nanhistogram.4,,statistical,glue_rte,embeddings
can_cor.nanhistogram.5,,statistical,glue_rte,embeddings
can_cor.nanhistogram.6,,statistical,glue_rte,embeddings
can_cor.nanhistogram.7,,statistical,glue_rte,embeddings
can_cor.nanhistogram.8,,statistical,glue_rte,embeddings
can_cor.nanhistogram.9,,statistical,glue_rte,embeddings
can_cor.naniq_range,,statistical,glue_rte,embeddings
can_cor.nankurtosis,,statistical,glue_rte,embeddings
can_cor.nanmax,,statistical,glue_rte,embeddings
can_cor.nanmean,,statistical,glue_rte,embeddings
can_cor.nanmedian,,statistical,glue_rte,embeddings
can_cor.nanmin,,statistical,glue_rte,embeddings
can_cor.nanpnorm,,statistical,glue_rte,embeddings
can_cor.nanpowersum,,statistical,glue_rte,embeddings
can_cor.nanquantiles.0,,statistical,glue_rte,embeddings
can_cor.nanquantiles.1,,statistical,glue_rte,embeddings
can_cor.nanquantiles.2,,statistical,glue_rte,embeddings
can_cor.nanquantiles.3,,statistical,glue_rte,embeddings
can_cor.nanquantiles.4,,statistical,glue_rte,embeddings
can_cor.nanrange,,statistical,glue_rte,embeddings
can_cor.nansd,,statistical,glue_rte,embeddings
can_cor.nanskewness,,statistical,glue_rte,embeddings
can_cor.nansum,,statistical,glue_rte,embeddings
can_cor.nanvar,,statistical,glue_rte,embeddings
can_cor.pnorm,,statistical,glue_rte,embeddings
can_cor.powersum,,statistical,glue_rte,embeddings
can_cor.quantiles.0,,statistical,glue_rte,embeddings
can_cor.quantiles.1,,statistical,glue_rte,embeddings
can_cor.quantiles.2,,statistical,glue_rte,embeddings
can_cor.quantiles.3,,statistical,glue_rte,embeddings
can_cor.quantiles.4,,statistical,glue_rte,embeddings
can_cor.range,,statistical,glue_rte,embeddings
can_cor.sd,,statistical,glue_rte,embeddings
can_cor.skewness,,statistical,glue_rte,embeddings
can_cor.sum,,statistical,glue_rte,embeddings
can_cor.var,,statistical,glue_rte,embeddings
cor.count,294528.0,statistical,glue_rte,embeddings
cor.histogram.0,,statistical,glue_rte,embeddings
cor.histogram.1,,statistical,glue_rte,embeddings
cor.histogram.2,,statistical,glue_rte,embeddings
cor.histogram.3,,statistical,glue_rte,embeddings
cor.histogram.4,,statistical,glue_rte,embeddings
cor.histogram.5,,statistical,glue_rte,embeddings
cor.histogram.6,,statistical,glue_rte,embeddings
cor.histogram.7,,statistical,glue_rte,embeddings
cor.histogram.8,,statistical,glue_rte,embeddings
cor.histogram.9,,statistical,glue_rte,embeddings
cor.iq_range,,statistical,glue_rte,embeddings
cor.kurtosis,,statistical,glue_rte,embeddings
cor.max,,statistical,glue_rte,embeddings
cor.mean,,statistical,glue_rte,embeddings
cor.median,,statistical,glue_rte,embeddings
cor.min,,statistical,glue_rte,embeddings
cor.nancount,0.0,statistical,glue_rte,embeddings
cor.nanhistogram.0,,statistical,glue_rte,embeddings
cor.nanhistogram.1,,statistical,glue_rte,embeddings
cor.nanhistogram.2,,statistical,glue_rte,embeddings
cor.nanhistogram.3,,statistical,glue_rte,embeddings
cor.nanhistogram.4,,statistical,glue_rte,embeddings
cor.nanhistogram.5,,statistical,glue_rte,embeddings
cor.nanhistogram.6,,statistical,glue_rte,embeddings
cor.nanhistogram.7,,statistical,glue_rte,embeddings
cor.nanhistogram.8,,statistical,glue_rte,embeddings
cor.nanhistogram.9,,statistical,glue_rte,embeddings
cor.naniq_range,,statistical,glue_rte,embeddings
cor.nankurtosis,,statistical,glue_rte,embeddings
cor.nanmax,,statistical,glue_rte,embeddings
cor.nanmean,,statistical,glue_rte,embeddings
cor.nanmedian,,statistical,glue_rte,embeddings
cor.nanmin,,statistical,glue_rte,embeddings
cor.nanpnorm,,statistical,glue_rte,embeddings
cor.nanpowersum,,statistical,glue_rte,embeddings
cor.nanquantiles.0,,statistical,glue_rte,embeddings
cor.nanquantiles.1,,statistical,glue_rte,embeddings
cor.nanquantiles.2,,statistical,glue_rte,embeddings
cor.nanquantiles.3,,statistical,glue_rte,embeddings
cor.nanquantiles.4,,statistical,glue_rte,embeddings
cor.nanrange,,statistical,glue_rte,embeddings
cor.nansd,,statistical,glue_rte,embeddings
cor.nanskewness,,statistical,glue_rte,embeddings
cor.nansum,,statistical,glue_rte,embeddings
cor.nanvar,,statistical,glue_rte,embeddings
cor.pnorm,,statistical,glue_rte,embeddings
cor.powersum,,statistical,glue_rte,embeddings
cor.quantiles.0,,statistical,glue_rte,embeddings
cor.quantiles.1,,statistical,glue_rte,embeddings
cor.quantiles.2,,statistical,glue_rte,embeddings
cor.quantiles.3,,statistical,glue_rte,embeddings
cor.quantiles.4,,statistical,glue_rte,embeddings
cor.range,,statistical,glue_rte,embeddings
cor.sd,,statistical,glue_rte,embeddings
cor.skewness,,statistical,glue_rte,embeddings
cor.sum,,statistical,glue_rte,embeddings
cor.var,,statistical,glue_rte,embeddings
cov.count,294528.0,statistical,glue_rte,embeddings
cov.histogram.0,0.0,statistical,glue_rte,embeddings
cov.histogram.1,0.0,statistical,glue_rte,embeddings
cov.histogram.2,0.0,statistical,glue_rte,embeddings
cov.histogram.3,0.0,statistical,glue_rte,embeddings
cov.histogram.4,0.0,statistical,glue_rte,embeddings
cov.histogram.5,1.0,statistical,glue_rte,embeddings
cov.histogram.6,0.0,statistical,glue_rte,embeddings
cov.histogram.7,0.0,statistical,glue_rte,embeddings
cov.histogram.8,0.0,statistical,glue_rte,embeddings
cov.histogram.9,0.0,statistical,glue_rte,embeddings
cov.iq_range,0.0,statistical,glue_rte,embeddings
cov.kurtosis,,statistical,glue_rte,embeddings
cov.max,0.0,statistical,glue_rte,embeddings
cov.mean,0.0,statistical,glue_rte,embeddings
cov.median,0.0,statistical,glue_rte,embeddings
cov.min,0.0,statistical,glue_rte,embeddings
cov.nancount,294528.0,statistical,glue_rte,embeddings
cov.nanhistogram.0,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.1,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.2,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.3,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.4,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.5,1.0,statistical,glue_rte,embeddings
cov.nanhistogram.6,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.7,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.8,0.0,statistical,glue_rte,embeddings
cov.nanhistogram.9,0.0,statistical,glue_rte,embeddings
cov.naniq_range,0.0,statistical,glue_rte,embeddings
cov.nankurtosis,,statistical,glue_rte,embeddings
cov.nanmax,0.0,statistical,glue_rte,embeddings
cov.nanmean,0.0,statistical,glue_rte,embeddings
cov.nanmedian,0.0,statistical,glue_rte,embeddings
cov.nanmin,0.0,statistical,glue_rte,embeddings
cov.nanpnorm,0.0,statistical,glue_rte,embeddings
cov.nanpowersum,0.0,statistical,glue_rte,embeddings
cov.nanquantiles.0,0.0,statistical,glue_rte,embeddings
cov.nanquantiles.1,0.0,statistical,glue_rte,embeddings
cov.nanquantiles.2,0.0,statistical,glue_rte,embeddings
cov.nanquantiles.3,0.0,statistical,glue_rte,embeddings
cov.nanquantiles.4,0.0,statistical,glue_rte,embeddings
cov.nanrange,0.0,statistical,glue_rte,embeddings
cov.nansd,0.0,statistical,glue_rte,embeddings
cov.nanskewness,,statistical,glue_rte,embeddings
cov.nansum,0.0,statistical,glue_rte,embeddings
cov.nanvar,0.0,statistical,glue_rte,embeddings
cov.pnorm,0.0,statistical,glue_rte,embeddings
cov.powersum,0.0,statistical,glue_rte,embeddings
cov.quantiles.0,0.0,statistical,glue_rte,embeddings
cov.quantiles.1,0.0,statistical,glue_rte,embeddings
cov.quantiles.2,0.0,statistical,glue_rte,embeddings
cov.quantiles.3,0.0,statistical,glue_rte,embeddings
cov.quantiles.4,0.0,statistical,glue_rte,embeddings
cov.range,0.0,statistical,glue_rte,embeddings
cov.sd,0.0,statistical,glue_rte,embeddings
cov.skewness,,statistical,glue_rte,embeddings
cov.sum,0.0,statistical,glue_rte,embeddings
cov.var,0.0,statistical,glue_rte,embeddings
eigenvalues.count,768.0,statistical,glue_rte,embeddings
eigenvalues.histogram.0,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.1,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.2,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.3,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.4,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.5,1.0,statistical,glue_rte,embeddings
eigenvalues.histogram.6,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.7,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.8,0.0,statistical,glue_rte,embeddings
eigenvalues.histogram.9,0.0,statistical,glue_rte,embeddings
eigenvalues.iq_range,0.0,statistical,glue_rte,embeddings
eigenvalues.kurtosis,,statistical,glue_rte,embeddings
eigenvalues.max,0.0,statistical,glue_rte,embeddings
eigenvalues.mean,0.0,statistical,glue_rte,embeddings
eigenvalues.median,0.0,statistical,glue_rte,embeddings
eigenvalues.min,0.0,statistical,glue_rte,embeddings
eigenvalues.nancount,768.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.0,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.1,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.2,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.3,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.4,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.5,1.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.6,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.7,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.8,0.0,statistical,glue_rte,embeddings
eigenvalues.nanhistogram.9,0.0,statistical,glue_rte,embeddings
eigenvalues.naniq_range,0.0,statistical,glue_rte,embeddings
eigenvalues.nankurtosis,,statistical,glue_rte,embeddings
eigenvalues.nanmax,0.0,statistical,glue_rte,embeddings
eigenvalues.nanmean,0.0,statistical,glue_rte,embeddings
eigenvalues.nanmedian,0.0,statistical,glue_rte,embeddings
eigenvalues.nanmin,0.0,statistical,glue_rte,embeddings
eigenvalues.nanpnorm,0.0,statistical,glue_rte,embeddings
eigenvalues.nanpowersum,0.0,statistical,glue_rte,embeddings
eigenvalues.nanquantiles.0,0.0,statistical,glue_rte,embeddings
eigenvalues.nanquantiles.1,0.0,statistical,glue_rte,embeddings
eigenvalues.nanquantiles.2,0.0,statistical,glue_rte,embeddings
eigenvalues.nanquantiles.3,0.0,statistical,glue_rte,embeddings
eigenvalues.nanquantiles.4,0.0,statistical,glue_rte,embeddings
eigenvalues.nanrange,0.0,statistical,glue_rte,embeddings
eigenvalues.nansd,0.0,statistical,glue_rte,embeddings
eigenvalues.nanskewness,,statistical,glue_rte,embeddings
eigenvalues.nansum,0.0,statistical,glue_rte,embeddings
eigenvalues.nanvar,0.0,statistical,glue_rte,embeddings
eigenvalues.pnorm,0.0,statistical,glue_rte,embeddings
eigenvalues.powersum,0.0,statistical,glue_rte,embeddings
eigenvalues.quantiles.0,0.0,statistical,glue_rte,embeddings
eigenvalues.quantiles.1,0.0,statistical,glue_rte,embeddings
eigenvalues.quantiles.2,0.0,statistical,glue_rte,embeddings
eigenvalues.quantiles.3,0.0,statistical,glue_rte,embeddings
eigenvalues.quantiles.4,0.0,statistical,glue_rte,embeddings
eigenvalues.range,0.0,statistical,glue_rte,embeddings
eigenvalues.sd,0.0,statistical,glue_rte,embeddings
eigenvalues.skewness,,statistical,glue_rte,embeddings
eigenvalues.sum,0.0,statistical,glue_rte,embeddings
eigenvalues.var,0.0,statistical,glue_rte,embeddings
g_mean.count,768.0,statistical,glue_rte,embeddings
g_mean.histogram.0,0.0,statistical,glue_rte,embeddings
g_mean.histogram.1,0.0,statistical,glue_rte,embeddings
g_mean.histogram.2,0.0,statistical,glue_rte,embeddings
g_mean.histogram.3,0.0,statistical,glue_rte,embeddings
g_mean.histogram.4,0.0,statistical,glue_rte,embeddings
g_mean.histogram.5,1.0,statistical,glue_rte,embeddings
g_mean.histogram.6,0.0,statistical,glue_rte,embeddings
g_mean.histogram.7,0.0,statistical,glue_rte,embeddings
g_mean.histogram.8,0.0,statistical,glue_rte,embeddings
g_mean.histogram.9,0.0,statistical,glue_rte,embeddings
g_mean.iq_range,0.0,statistical,glue_rte,embeddings
g_mean.kurtosis,,statistical,glue_rte,embeddings
g_mean.max,0.0,statistical,glue_rte,embeddings
g_mean.mean,0.0,statistical,glue_rte,embeddings
g_mean.median,0.0,statistical,glue_rte,embeddings
g_mean.min,0.0,statistical,glue_rte,embeddings
g_mean.nancount,768.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.0,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.1,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.2,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.3,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.4,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.5,1.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.6,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.7,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.8,0.0,statistical,glue_rte,embeddings
g_mean.nanhistogram.9,0.0,statistical,glue_rte,embeddings
g_mean.naniq_range,0.0,statistical,glue_rte,embeddings
g_mean.nankurtosis,,statistical,glue_rte,embeddings
g_mean.nanmax,0.0,statistical,glue_rte,embeddings
g_mean.nanmean,0.0,statistical,glue_rte,embeddings
g_mean.nanmedian,0.0,statistical,glue_rte,embeddings
g_mean.nanmin,0.0,statistical,glue_rte,embeddings
g_mean.nanpnorm,0.0,statistical,glue_rte,embeddings
g_mean.nanpowersum,0.0,statistical,glue_rte,embeddings
g_mean.nanquantiles.0,0.0,statistical,glue_rte,embeddings
g_mean.nanquantiles.1,0.0,statistical,glue_rte,embeddings
g_mean.nanquantiles.2,0.0,statistical,glue_rte,embeddings
g_mean.nanquantiles.3,0.0,statistical,glue_rte,embeddings
g_mean.nanquantiles.4,0.0,statistical,glue_rte,embeddings
g_mean.nanrange,0.0,statistical,glue_rte,embeddings
g_mean.nansd,0.0,statistical,glue_rte,embeddings
g_mean.nanskewness,,statistical,glue_rte,embeddings
g_mean.nansum,0.0,statistical,glue_rte,embeddings
g_mean.nanvar,0.0,statistical,glue_rte,embeddings
g_mean.pnorm,0.0,statistical,glue_rte,embeddings
g_mean.powersum,0.0,statistical,glue_rte,embeddings
g_mean.quantiles.0,0.0,statistical,glue_rte,embeddings
g_mean.quantiles.1,0.0,statistical,glue_rte,embeddings
g_mean.quantiles.2,0.0,statistical,glue_rte,embeddings
g_mean.quantiles.3,0.0,statistical,glue_rte,embeddings
g_mean.quantiles.4,0.0,statistical,glue_rte,embeddings
g_mean.range,0.0,statistical,glue_rte,embeddings
g_mean.sd,0.0,statistical,glue_rte,embeddings
g_mean.skewness,,statistical,glue_rte,embeddings
g_mean.sum,0.0,statistical,glue_rte,embeddings
g_mean.var,0.0,statistical,glue_rte,embeddings
gravity,0.0,statistical,glue_rte,embeddings
h_mean.count,768.0,statistical,glue_rte,embeddings
h_mean.histogram.0,0.0,statistical,glue_rte,embeddings
h_mean.histogram.1,0.0,statistical,glue_rte,embeddings
h_mean.histogram.2,0.0,statistical,glue_rte,embeddings
h_mean.histogram.3,0.0,statistical,glue_rte,embeddings
h_mean.histogram.4,0.0,statistical,glue_rte,embeddings
h_mean.histogram.5,1.0,statistical,glue_rte,embeddings
h_mean.histogram.6,0.0,statistical,glue_rte,embeddings
h_mean.histogram.7,0.0,statistical,glue_rte,embeddings
h_mean.histogram.8,0.0,statistical,glue_rte,embeddings
h_mean.histogram.9,0.0,statistical,glue_rte,embeddings
h_mean.iq_range,0.0,statistical,glue_rte,embeddings
h_mean.kurtosis,,statistical,glue_rte,embeddings
h_mean.max,0.0,statistical,glue_rte,embeddings
h_mean.mean,0.0,statistical,glue_rte,embeddings
h_mean.median,0.0,statistical,glue_rte,embeddings
h_mean.min,0.0,statistical,glue_rte,embeddings
h_mean.nancount,768.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.0,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.1,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.2,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.3,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.4,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.5,1.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.6,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.7,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.8,0.0,statistical,glue_rte,embeddings
h_mean.nanhistogram.9,0.0,statistical,glue_rte,embeddings
h_mean.naniq_range,0.0,statistical,glue_rte,embeddings
h_mean.nankurtosis,,statistical,glue_rte,embeddings
h_mean.nanmax,0.0,statistical,glue_rte,embeddings
h_mean.nanmean,0.0,statistical,glue_rte,embeddings
h_mean.nanmedian,0.0,statistical,glue_rte,embeddings
h_mean.nanmin,0.0,statistical,glue_rte,embeddings
h_mean.nanpnorm,0.0,statistical,glue_rte,embeddings
h_mean.nanpowersum,0.0,statistical,glue_rte,embeddings
h_mean.nanquantiles.0,0.0,statistical,glue_rte,embeddings
h_mean.nanquantiles.1,0.0,statistical,glue_rte,embeddings
h_mean.nanquantiles.2,0.0,statistical,glue_rte,embeddings
h_mean.nanquantiles.3,0.0,statistical,glue_rte,embeddings
h_mean.nanquantiles.4,0.0,statistical,glue_rte,embeddings
h_mean.nanrange,0.0,statistical,glue_rte,embeddings
h_mean.nansd,0.0,statistical,glue_rte,embeddings
h_mean.nanskewness,,statistical,glue_rte,embeddings
h_mean.nansum,0.0,statistical,glue_rte,embeddings
h_mean.nanvar,0.0,statistical,glue_rte,embeddings
h_mean.pnorm,0.0,statistical,glue_rte,embeddings
h_mean.powersum,0.0,statistical,glue_rte,embeddings
h_mean.quantiles.0,0.0,statistical,glue_rte,embeddings
h_mean.quantiles.1,0.0,statistical,glue_rte,embeddings
h_mean.quantiles.2,0.0,statistical,glue_rte,embeddings
h_mean.quantiles.3,0.0,statistical,glue_rte,embeddings
h_mean.quantiles.4,0.0,statistical,glue_rte,embeddings
h_mean.range,0.0,statistical,glue_rte,embeddings
h_mean.sd,0.0,statistical,glue_rte,embeddings
h_mean.skewness,,statistical,glue_rte,embeddings
h_mean.sum,0.0,statistical,glue_rte,embeddings
h_mean.var,0.0,statistical,glue_rte,embeddings
iq_range.count,768.0,statistical,glue_rte,embeddings
iq_range.histogram.0,0.0,statistical,glue_rte,embeddings
iq_range.histogram.1,0.0,statistical,glue_rte,embeddings
iq_range.histogram.2,0.0,statistical,glue_rte,embeddings
iq_range.histogram.3,0.0,statistical,glue_rte,embeddings
iq_range.histogram.4,0.0,statistical,glue_rte,embeddings
iq_range.histogram.5,1.0,statistical,glue_rte,embeddings
iq_range.histogram.6,0.0,statistical,glue_rte,embeddings
iq_range.histogram.7,0.0,statistical,glue_rte,embeddings
iq_range.histogram.8,0.0,statistical,glue_rte,embeddings
iq_range.histogram.9,0.0,statistical,glue_rte,embeddings
iq_range.iq_range,0.0,statistical,glue_rte,embeddings
iq_range.kurtosis,,statistical,glue_rte,embeddings
iq_range.max,0.0,statistical,glue_rte,embeddings
iq_range.mean,0.0,statistical,glue_rte,embeddings
iq_range.median,0.0,statistical,glue_rte,embeddings
iq_range.min,0.0,statistical,glue_rte,embeddings
iq_range.nancount,768.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.0,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.1,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.2,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.3,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.4,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.5,1.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.6,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.7,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.8,0.0,statistical,glue_rte,embeddings
iq_range.nanhistogram.9,0.0,statistical,glue_rte,embeddings
iq_range.naniq_range,0.0,statistical,glue_rte,embeddings
iq_range.nankurtosis,,statistical,glue_rte,embeddings
iq_range.nanmax,0.0,statistical,glue_rte,embeddings
iq_range.nanmean,0.0,statistical,glue_rte,embeddings
iq_range.nanmedian,0.0,statistical,glue_rte,embeddings
iq_range.nanmin,0.0,statistical,glue_rte,embeddings
iq_range.nanpnorm,0.0,statistical,glue_rte,embeddings
iq_range.nanpowersum,0.0,statistical,glue_rte,embeddings
iq_range.nanquantiles.0,0.0,statistical,glue_rte,embeddings
iq_range.nanquantiles.1,0.0,statistical,glue_rte,embeddings
iq_range.nanquantiles.2,0.0,statistical,glue_rte,embeddings
iq_range.nanquantiles.3,0.0,statistical,glue_rte,embeddings
iq_range.nanquantiles.4,0.0,statistical,glue_rte,embeddings
iq_range.nanrange,0.0,statistical,glue_rte,embeddings
iq_range.nansd,0.0,statistical,glue_rte,embeddings
iq_range.nanskewness,,statistical,glue_rte,embeddings
iq_range.nansum,0.0,statistical,glue_rte,embeddings
iq_range.nanvar,0.0,statistical,glue_rte,embeddings
iq_range.pnorm,0.0,statistical,glue_rte,embeddings
iq_range.powersum,0.0,statistical,glue_rte,embeddings
iq_range.quantiles.0,0.0,statistical,glue_rte,embeddings
iq_range.quantiles.1,0.0,statistical,glue_rte,embeddings
iq_range.quantiles.2,0.0,statistical,glue_rte,embeddings
iq_range.quantiles.3,0.0,statistical,glue_rte,embeddings
iq_range.quantiles.4,0.0,statistical,glue_rte,embeddings
iq_range.range,0.0,statistical,glue_rte,embeddings
iq_range.sd,0.0,statistical,glue_rte,embeddings
iq_range.skewness,,statistical,glue_rte,embeddings
iq_range.sum,0.0,statistical,glue_rte,embeddings
iq_range.var,0.0,statistical,glue_rte,embeddings
kurtosis.count,768.0,statistical,glue_rte,embeddings
kurtosis.histogram.0,,statistical,glue_rte,embeddings
kurtosis.histogram.1,,statistical,glue_rte,embeddings
kurtosis.histogram.2,,statistical,glue_rte,embeddings
kurtosis.histogram.3,,statistical,glue_rte,embeddings
kurtosis.histogram.4,,statistical,glue_rte,embeddings
kurtosis.histogram.5,,statistical,glue_rte,embeddings
kurtosis.histogram.6,,statistical,glue_rte,embeddings
kurtosis.histogram.7,,statistical,glue_rte,embeddings
kurtosis.histogram.8,,statistical,glue_rte,embeddings
